batch_id,drug_code,brand_name,therapeutic_area,form,is_cold_chain,shelf_life_months,unit_cost_usd,supplier_id,supplier_name,supplier_country,supplier_reliability,warehouse_id,region,date_procurement,units_procured,units_manufactured,qa_pass,qa_result,qa_fail_reason,units_qa_passed,units_packaged,units_warehoused,units_distributed,units_delivered,units_dispensed,delay_procurement_days,date_manufacturing,delay_manufacturing_days,date_quality,delay_quality_testing_days,date_packaging,delay_packaging_days,date_warehouse,delay_warehouse_days,date_distributor,delay_distributor_days,date_pharmacy,delay_hospital_pharmacy_days,date_patient,delay_patient_days,total_cycle_time_days,qa_delay_days,cold_chain_excursion,storage_temp_c,storage_humidity_pct,storage_duration_days,potency_pct,expiry_date,days_to_expiry_at_delivery,batch_risk_label,batch_value_usd,units_lost,value_lost_usd,year,month,year_month,quarter
BATCH-00011,DrugY,Cardiovex,Cardiovascular,Tablet,0,36,2.4,SUP-02,Divis Laboratories,India,0.96,WH-LA-01,Latin America,2025-08-24,35403,34321,1,Pass,Not Applicable,33680,30337,29861,27656,26751,23606,22.6,2025-09-05,11.7,2025-09-16,11.5,2025-09-20,3.8,2025-10-06,16.0,2025-10-12,5.6,2025-10-18,5.7,2025-10-26,7.5,63,11.5,0,33.7,72.3,28,96.99,2028-09-04 20:09:36.000000008,1052,Medium,84967.2,11797,28312.8,2025,8,2025-08,2025Q3
BATCH-00012,DrugC,Cholestat,Lipid Disorders,Injection,1,15,12.3,SUP-02,Divis Laboratories,India,0.96,WH-NA-01,North America,2024-12-25,33171,32158,1,Pass,Not Applicable,31750,28598,28149,26070,25217,22252,12.6,2025-01-02,7.8,2025-01-29,27.3,2025-01-31,1.6,2025-03-10,37.5,2025-03-11,1.0,2025-03-19,8.5,2025-03-27,8.0,92,27.3,0,5.4,,47,98.16,2026-04-03 14:24:00.000000000,380,Low,408003.3,10919,134303.7,2024,12,2024-12,2024Q4
BATCH-00013,DrugX,Nephrolyte,Nephrology,Tablet,0,30,1.85,SUP-05,Cambrex Corporation,USA,0.95,WH-AP-01,Asia-Pacific,2023-04-06,19200,18613,1,Pass,Not Applicable,18086,16291,16035,14851,14365,12676,18.3,2023-04-17,10.9,2023-05-04,17.0,2023-05-07,3.0,2023-06-26,49.7,2023-07-04,8.0,2023-07-12,7.6,2023-07-14,2.3,99,17.0,0,26.7,59.5,66,95.23,2025-10-16 04:48:00.000000000,827,Medium,35520.0,6524,12069.4,2023,4,2023-04,2023Q2
BATCH-00014,DrugA,Angiotrol,Hypertension,Injection,1,18,9.6,SUP-05,Cambrex Corporation,USA,,WH-NA-01,North America,2024-02-14,52388,50788,1,Pass,Not Applicable,49180,44298,43603,40383,39062,34469,11.3,2024-02-25,10.6,2024-03-09,13.2,2024-03-13,4.2,2024-05-17,65.3,2024-05-21,4.3,2024-05-22,1.0,2024-05-31,8.6,107,13.2,0,4.9,63.7,70,96.79,2025-08-25 22:04:48.000000008,460,Medium,502924.8,17919,172022.4,2024,2,2024-02,2024Q1
BATCH-00015,DrugY,Cardiovex,Cardiovascular,Tablet,0,36,2.4,SUP-06,Hikal Speciality,India,0.88,WH-NA-02,North America,2025-01-06,26612,25799,1,Pass,Not Applicable,25211,22708,22352,20701,20024,17670,25.3,2025-01-15,9.1,2025-02-06,22.3,2025-02-09,3.0,2025-03-12,31.4,2025-03-22,9.7,2025-03-28,5.8,2025-04-05,8.4,89,22.3,0,,54.9,47,98.1,2028-01-15 20:09:36.000000008,1023,Low,63868.8,8942,21460.8,2025,1,2025-01,2025Q1
BATCH-00016,DrugY,Cardiovex,Cardiovascular,Tablet,0,36,2.4,SUP-03,Zhejiang Kangtai Chem,China,0.83,WH-NA-02,North America,2024-08-31,25040,24275,1,Pass,Not Applicable,23590,21248,20914,19370,18736,16533,29.1,2024-09-09,8.6,2024-09-29,19.7,2024-09-30,1.0,2024-11-26,57.4,2024-12-01,5.4,2024-12-03,2.5,2024-12-07,4.2,98,19.7,0,23.0,63.8,64,96.0,2027-09-09 20:09:36.000000008,1010,Medium,60096.0,8507,20416.8,2024,8,2024-08,2024Q3
BATCH-00017,DrugX,Nephrolyte,Nephrology,Tablet,0,30,1.85,SUP-07,Shandong Xinhua Pharm,China,0.8,WH-AP-01,Asia-Pacific,2024-04-30,56281,54562,0,Fail,Content Uniformity Failure,26408,23787,23414,21685,20976,18510,39.0,2024-05-12,12.2,2024-06-07,25.8,2024-06-11,4.1,2024-07-17,36.5,2024-07-21,4.3,2024-07-25,3.8,2024-08-01,6.7,93,25.8,0,23.6,44.2,44,99.34,2026-11-11 04:48:00.000000000,839,High,104119.85,37771,69876.35,2024,4,2024-04,2024Q2
BATCH-00018,DrugY,Cardiovex,Cardiovascular,Tablet,0,36,2.4,SUP-03,Zhejiang Kangtai Chem,China,0.83,WH-NA-02,North America,2024-04-05,53447,51814,1,Pass,Not Applicable,49957,44998,44292,41021,39679,35014,35.3,2024-04-15,10.3,2024-05-01,16.2,2024-05-04,2.9,2024-07-01,57.8,2024-07-04,3.2,2024-07-10,5.5,2024-07-12,1.7,98,16.2,0,23.1,57.2,67,95.45,2027-04-15 20:09:36.000000008,1009,Medium,128272.8,18433,44239.2,2024,4,2024-04,2024Q2
BATCH-00019,DrugA,Angiotrol,Hypertension,Injection,1,18,9.6,SUP-05,Cambrex Corporation,USA,0.95,WH-NA-02,North America,2024-02-19,52863,51248,1,Pass,Not Applicable,49631,44704,44002,40753,39420,34785,18.9,2024-02-28,9.2,2024-03-18,19.0,2024-03-23,5.0,2024-04-18,25.6,2024-04-25,7.0,2024-05-02,7.2,2024-05-07,5.4,78,19.0,1,18.7,35.3,40,94.53,2025-08-28 22:04:48.000000008,483,High,507484.8,18078,173548.8,2024,2,2024-02,2024Q1
BATCH-00020,DrugX,Nephrolyte,Nephrology,Tablet,0,30,1.85,SUP-08,Siegfried Holding,Germany,0.96,WH-NA-02,North America,2024-08-08,28223,27361,1,Pass,Not Applicable,26676,24028,23651,21904,21187,18696,20.8,2024-08-16,8.4,2024-09-12,27.1,2024-09-14,2.4,2024-11-06,53.1,2024-11-11,4.9,2024-11-18,7.1,2024-11-29,10.8,113,27.1,0,21.8,53.6,65,97.5,2027-02-15 04:48:00.000000000,819,Low,52212.55,9527,17624.95,2024,8,2024-08,2024Q3
BATCH-00021,DrugA,Angiotrol,Hypertension,Injection,1,18,9.6,SUP-05,Cambrex Corporation,USA,0.95,WH-EU-01,Europe,2023-07-06,32164,31181,1,Pass,Not Applicable,30311,27302,26873,24889,24075,21244,12.0,2023-07-17,10.6,2023-08-08,21.8,2023-08-15,7.4,2023-09-22,38.3,2023-10-01,9.2,2023-10-06,5.4,2023-10-17,10.9,103,21.8,0,6.2,43.3,52,96.13,2025-01-14 22:04:48.000000008,466,Medium,308774.4,10920,104832.0,2023,7,2023-07,2023Q3
BATCH-00022,DrugY,Cardiovex,Cardiovascular,Tablet,0,36,2.4,SUP-06,Hikal Speciality,India,0.88,WH-AP-01,Asia-Pacific,2024-06-24,32044,31065,1,Pass,Not Applicable,30274,27269,26841,24859,24046,21219,36.4,2024-07-08,13.8,2024-07-27,18.8,2024-08-01,4.8,2024-08-20,18.7,2024-08-26,5.7,2024-09-01,6.0,2024-09-11,10.1,79,18.8,0,20.8,51.2,31,99.24,2027-07-08 20:09:36.000000008,1040,Low,76905.6,10825,25980.0,2024,6,2024-06,2024Q2
BATCH-00023,DrugC,Cholestat,Lipid Disorders,Injection,1,15,12.3,SUP-08,Siegfried Holding  ,Germany,0.96,WH-EU-01,Europe,2023-08-09,45645,44251,1,Pass,Not Applicable,42202,38013,37416,34653,33519,29578,20.4,2023-08-21,11.6,2023-09-14,24.1,2023-09-18,4.3,2023-10-25,37.2,2023-11-03,9.1,2023-11-10,7.3,2023-11-21,10.8,104,24.1,0,5.7,67.2,53,96.22,2024-11-19 14:24:00.000000000,375,Medium,561433.5,16067,197624.1,2023,8,2023-08,2023Q3
BATCH-00024,DrugB,Betacor,Hypertension,Capsule,0,24,3.15,SUP-08,Siegfried Holding,Germany,0.96,WH-NA-02,North America,2024-11-11,63101,61173,1,Pass,Not Applicable,59948,53997,53149,49224,47614,42016,17.2,2024-11-21,10.3,2024-12-10,19.2,2024-12-15,4.9,2025-02-17,63.8,2025-02-19,2.3,2025-02-21,1.7,2025-03-04,10.9,113,19.2,0,26.2,71.1,68,96.86,2026-11-21 13:26:24.000000008,638,Medium,198768.15,21085,66417.75,2024,11,2024-11,2024Q4
BATCH-00025,DrugA,Angiotrol,Hypertension,Injection,1,18,9.6,SUP-04,Lonza Group AG,Switzerland,0.97,WH-AP-01,Asia-Pacific,2025-05-03,38354,37182,1,Pass,Not Applicable,36142,32554,32043,29677,28706,25331,10.0,2025-05-15,11.9,2025-06-05,21.4,2025-06-06,1.3,2025-06-28,21.7,2025-06-30,1.7,2025-07-09,9.1,2025-07-13,4.4,71,21.4,0,4.1,37.9,33,99.55,2026-11-13 22:04:48.000000008,492,Low,368198.4,13023,125020.8,2025,5,2025-05,2025Q2
BATCH-00026,DrugY,Cardiovex,Cardiovascular,Tablet,0,36,2.4,SUP-04,Lonza Group AG,Switzerland,0.97,WH-AP-01,Asia-Pacific,2024-05-18,75316,73015,1,Pass,Not Applicable,72650,65438,64411,59655,57703,50919,7.9,2024-06-02,15.1,2024-06-22,19.9,2024-06-25,3.3,2024-07-08,13.3,2024-07-16,8.5,2024-07-20,3.7,2024-07-28,8.4,71,19.9,0,22.8,65.7,25,99.03,2027-06-02 20:09:36.000000008,1047,Low,180758.4,24397,58552.8,2024,5,2024-05,2024Q2
BATCH-00027,DrugX,Nephrolyte,Nephrology,Tablet,0,30,1.85,SUP-02,Divis Laboratories,India,0.96,WH-NA-01,North America,2024-01-23,47898,46435,1,Pass,Not Applicable,44919,40460,39825,36884,35677,31482,10.2,2024-02-04,12.5,2024-02-27,22.5,2024-03-05,6.7,2024-04-21,47.2,2024-04-25,4.5,2024-04-30,5.1,2024-05-11,11.3,109,22.5,0,24.0,67.4,56,95.09,2026-08-05 04:48:00.000000000,827,Medium,88611.3,16416,30369.6,2024,1,2024-01,2024Q1
BATCH-00028,DrugY,Cardiovex,Cardiovascular,Tablet,0,36,2.4,SUP-05,Cambrex Corporation,USA,0.95,WH-ME-01,Middle East & Africa,2025-07-14,29774,28864,1,Pass,Not Applicable,28168,25372,24974,23130,22373,19743,8.3,2025-07-26,11.8,2025-08-11,16.3,2025-08-15,3.5,2025-08-25,9.8,2025-09-01,7.1,2025-09-06,5.3,2025-09-07,1.5,55,16.3,0,33.1,64.6,22,96.99,2028-07-25 20:09:36.000000008,1053,Medium,71457.6,10031,24074.4,2025,7,2025-07,2025Q3
BATCH-00029,DrugY,Cardiovex,Cardiovascular,Tablet,0,36,2.4,SUP-08,Siegfried Holding,Germany,0.96,WH-ME-01,Middle East & Africa,2024-10-26,46540,45118,1,Pass,Not Applicable,44892,40436,39801,36862,35656,31464,20.5,2024-11-08,12.9,2024-11-20,12.2,2024-11-24,3.9,2025-01-31,68.1,2025-02-05,4.6,2025-02-09,3.5,2025-02-10,1.5,107,12.2,0,29.6,75.9,77,92.25,2027-11-08 20:09:36.000000008,1002,High,111696.0,15076,36182.4,2024,10,2024-10,2024Q4
BATCH-00030,DrugX,Nephrolyte,Nephrology,Tablet,0,30,1.85,SUP-04,Lonza Group AG,Switzerland,0.97,WH-AP-01,APAC,2024-03-09,67272,65217,1,Pass,Not Applicable,63543,57235,56336,52176,50469,44535,15.9,2024-03-20,10.5,2024-04-13,24.4,2024-04-16,3.3,2024-06-23,67.7,2024-06-26,3.5,2024-07-02,6.2,2024-07-03,1.2,116,24.4,0,35.6,47.4,77,91.55,2026-09-19 04:48:00.000000000,809,High,124453.2,22737,42063.45,2024,3,2024-03,2024Q1
BATCH-00031,DrugA,Angiotrol,Hypertension,Injection,1,18,9.6,SUP-03,Zhejiang Kangtai Chem,China,0.83,WH-AP-01,Asia-Pacific,2023-02-28,76060,73736,1,Pass,Not Applicable,71612,64504,63491,58803,56879,50192,29.5,2023-03-12,11.6,2023-04-09,28.0,2023-04-15,6.2,2023-06-13,58.7,2023-06-21,8.0,2023-06-27,5.7,2023-06-28,1.0,120,28.0,0,,46.3,73,96.24,2024-09-09 22:04:48.000000008,440,Medium,730176.0,25868,248332.8,2023,2,2023-02,2023Q1
BATCH-00032,DrugC,Cholestat,Lipid Disorders,Injection,1,15,12.3,SUP-01,Aurobindo API Ltd,India,0.94,WH-LA-01,Latin America,2023-02-02,54095,52442,1,Pass,Not Applicable,50353,45355,44643,41346,39993,35291,17.5,2023-02-12,9.5,2023-02-24,12.4,2023-02-28,3.6,2023-04-09,39.8,2023-04-16,7.0,2023-04-22,5.7,2023-04-25,2.8,82,12.4,0,5.8,55.4,53,97.37,2024-05-13 14:24:00.000000000,387,Low,665368.5,18804,231289.2,2023,2,2023-02,2023Q1
BATCH-00033,DrugY,Cardiovex,Cardiovascular,Tablet,0,36,2.4,SUP-04,Lonza Group AG,Switzerland,0.97,WH-EU-01,Europe,2023-08-17,33216,32201,1,Pass,Not Applicable,31890,28724,28273,26185,25328,22350,13.0,2023-08-23,6.3,2023-09-12,20.1,2023-09-14,2.1,2023-11-23,70.0,2023-11-26,3.2,2023-11-30,4.5,2023-12-05,4.9,110,20.1,0,26.8,59.9,77,96.0,2026-08-22 20:09:36.000000008,996,Medium,79718.4,10866,26078.4,2023,8,2023-08,2023Q3
BATCH-00034,DrugY,Cardiovex,Cardiovascular,Tablet,0,36,2.4,SUP-02,Divis Laboratories,India,0.96,WH-EU-01,EU,2023-09-07,30001,29084,1,Pass,Not Applicable,27865,25099,24705,22881,22132,19530,19.2,2023-09-19,12.0,2023-10-05,16.3,2023-10-13,7.9,2023-12-16,64.2,2023-12-24,7.6,2024-01-01,7.6,2024-01-14,13.0,129,16.3,0,18.5,50.9,80,99.18,2026-09-18 20:09:36.000000008,991,Low,72002.4,10471,25130.4,2023,9,2023-09,2023Q3
BATCH-00035,DrugX,Nephrolyte,Nephrology,Tablet,0,30,1.85,SUP-08,Siegfried Holding,Germany,0.96,WH-EU-01,Europe,2024-12-15,41854,40575,1,Pass,Not Applicable,39647,35711,35150,32554,31489,27787,11.5,2024-12-27,12.0,2025-01-20,24.3,2025-01-22,1.9,2025-02-21,30.4,2025-03-01,8.5,2025-03-10,8.9,2025-03-15,5.3,90,24.3,0,27.8,44.1,47,98.46,2027-06-28 04:48:00.000000000,840,Low,77429.9,14067,26023.95,2024,12,2024-12,2024Q4
BATCH-00036,DrugY,Cardiovex,Cardiovascular,Tablet,0,36,2.4,SUP-05,Cambrex Corporation,USA,0.95,WH-NA-01,North America,2024-05-16,66375,64347,1,Pass,Not Applicable,62180,56008,55129,51058,49388,43581,13.4,2024-05-26,10.1,2024-06-15,20.5,2024-06-19,3.9,2024-08-24,65.9,2024-08-29,5.3,2024-09-05,6.9,2024-09-06,1.0,113,20.5,0,,44.7,78,98.27,2027-05-26 20:09:36.000000008,993,Low,159300.0,22794,54705.6,2024,5,2024-05,2024Q2
BATCH-00037,DrugY,Cardiovex,Cardiovascular,Tablet,0,36,2.4,SUP-02,Divis Laboratories,India,0.96,WH-ME-01,Middle East & Africa,2025-09-18,39426,38222,1,Pass,Not Applicable,37065,33386,32862,30435,29439,25978,17.2,2025-10-02,14.1,2025-11-10,39.0,2025-11-13,2.7,2025-12-07,23.6,2025-12-18,11.2,2025-12-25,7.3,2026-01-02,7.7,106,39.0,0,30.0,61.0,42,96.22,2028-10-01 20:09:36.000000008,1011,Medium,94622.4,13448,32275.2,2025,9,2025-09,2025Q3
BATCH-00038,DrugX,Nephrolyte,Nephrology,Tablet,0,30,1.85,SUP-01,Aurobindo API Ltd,India,0.94,WH-NA-02,North America,2024-06-26,39771,38556,1,Pass,Not Applicable,36818,33163,32642,30232,29243,25805,14.6,2024-07-05,8.8,2024-07-22,17.2,2024-07-25,2.9,2024-08-30,36.5,2024-09-02,3.2,2024-09-04,1.6,2024-09-10,6.2,76,17.2,0,22.1,42.7,41,98.97,2027-01-04 04:48:00.000000000,852,Low,73576.35,13966,25837.1,2024,6,2024-06,2024Q2
BATCH-00039,DrugY,Cardiovex,Cardiovascular,Tablet,0,36,2.4,SUP-07,Shandong Xinhua Pharm,China,0.8,WH-NA-02,North America,2025-07-10,33577,32551,1,Pass,Not Applicable,32164,28971,28516,26410,25546,22543,41.4,2025-07-16,5.7,2025-08-13,28.2,2025-08-15,2.4,2025-08-23,7.7,2025-08-30,6.8,2025-09-05,5.8,2025-09-09,3.9,61,28.2,0,21.4,59.4,21,99.18,2028-07-15 20:09:36.000000008,1044,Low,80584.8,11034,26481.6,2025,7,2025-07,2025Q3
BATCH-00040,DrugX,Nephrolyte,Nephrology,Tablet,0,30,1.85,SUP-08,Siegfried Holding,Germany,0.96,WH-ME-01,Middle East & Africa,2024-07-06,28632,27757,1,Pass,Not Applicable,26887,24218,23838,22078,21356,18845,13.8,2024-07-15,8.9,2024-08-13,28.8,2024-08-16,3.2,2024-09-28,42.6,2024-10-06,8.5,2024-10-14,8.4,2024-10-19,4.6,105,28.8,0,28.9,74.1,59,95.51,2027-01-14 04:48:00.000000000,822,Medium,52969.2,9787,18105.95,2024,7,2024-07,2024Q3
BATCH-00041,DrugY,Cardiovex,Cardiovascular,Tablet,0,36,2.4,SUP-07,Shandong Xinhua Pharm,China,0.8,WH-AP-01,Asia-Pacific,2024-01-16,30696,29758,1,Pass,Not Applicable,28491,25663,25260,23395,22630,19969,31.0,2024-01-22,6.4,2024-02-13,22.2,2024-02-18,5.5,2024-03-24,34.7,2024-03-28,4.2,2024-04-04,6.9,2024-04-15,11.3,90,22.2,0,23.7,,46,97.32,2027-01-21 20:09:36.000000008,1022,Low,73670.4,10727,25744.8,2024,1,2024-01,2024Q1
BATCH-00042,DrugA,Angiotrol,Hypertension,Injection,1,18,9.6,SUP-01,Aurobindo API Ltd,India,0.94,WH-AP-01,Asia-Pacific,2024-12-18,34783,33720,1,Pass,Not Applicable,33283,29979,29508,27329,26435,23327,21.4,2024-12-30,12.0,2025-01-18,19.2,2025-01-19,1.1,2025-02-20,31.9,2025-03-04,11.7,2025-03-07,2.9,2025-03-08,1.4,80,19.2,1,17.8,84.0,47,90.69,2026-06-30 22:04:48.000000008,480,High,333916.8,11456,109977.6,2024,12,2024-12,2024Q4
BATCH-00043,DrugX,Nephrolyte,Nephrology,Tablet,0,30,1.85,SUP-01,Aurobindo API Ltd,India,0.94,WH-NA-02,North America,2024-04-01,67616,65550,0,Fail,Particulate Contamination,43337,39035,38422,35585,34421,30374,18.2,2024-04-10,8.7,2024-05-12,31.5,2024-05-18,5.9,2024-06-24,37.0,2024-06-30,6.1,2024-07-06,6.2,2024-07-07,1.0,97,31.5,0,27.1,56.5,49,97.0,2026-10-10 04:48:00.000000000,826,High,125089.6,37242,68897.7,2024,4,2024-04,2024Q2
BATCH-00044,DrugY,Cardiovex,Cardiovascular,Tablet,0,36,2.4,SUP-02,Divis Laboratories,India,0.96,WH-NA-02,North America,2023-10-13,29712,28804,1,Pass,Not Applicable,28113,25322,24924,23083,22328,19703,17.6,2023-10-27,14.0,2023-11-15,19.1,2023-11-21,5.6,2023-12-21,29.6,2023-12-25,4.2,2024-01-01,7.5,2024-01-10,8.9,89,19.1,0,20.1,,41,98.77,2026-10-26 20:09:36.000000008,1029,Low,71308.8,10009,24021.6,2023,10,2023-10,2023Q4
BATCH-00045,DrugA,Angiotrol,Hypertension,Injection,1,18,9.6,SUP-07,Shandong Xinhua Pharm,China,,WH-LA-01,Latin America,2024-05-06,33594,32568,1,Pass,Not Applicable,31985,28810,28358,26264,25405,22418,30.3,2024-05-20,13.9,2024-06-15,25.8,2024-06-20,4.8,2024-07-31,40.8,2024-08-07,7.1,2024-08-11,3.6,2024-08-16,4.5,102,25.8,1,16.8,63.0,52,90.65,2025-11-18 22:04:48.000000008,464,High,322502.4,11176,107289.6,2024,5,2024-05,2024Q2
BATCH-00046,DrugA,Angiotrol,Hypertension,Injection,1,18,9.6,SUP-07,Shandong Xinhua Pharm,China,,WH-EU-01,Europe,2024-11-17,22846,22148,1,Pass,Not Applicable,21654,19505,19199,17781,17199,15177,38.2,2024-11-25,8.2,2024-12-09,13.8,2024-12-13,4.2,2025-02-14,63.1,2025-02-18,3.6,2025-02-24,6.1,2025-03-09,13.2,112,13.8,1,19.3,48.9,73,87.03,2026-05-26 22:04:48.000000008,456,High,219321.6,7669,73622.4,2024,11,2024-11,2024Q4
BATCH-00047,DrugY,Cardiovex,Cardiovascular,Tablet,0,36,2.4,SUP-07,Shandong Xinhua Pharm,China,0.8,WH-NA-01,North America,2024-02-15,44400,43044,1,Pass,Not Applicable,40704,36664,36088,33423,32330,28529,43.7,2024-02-24,8.6,2024-03-13,18.0,2024-03-17,4.4,2024-04-07,20.9,2024-04-10,2.9,2024-04-13,3.1,2024-04-19,6.4,64,18.0,0,19.9,53.3,27,99.52,2027-02-23 20:09:36.000000008,1046,Low,106560.0,15871,38090.4,2024,2,2024-02,2024Q1
