date,year_month,drug_code,brand_name,region,units_demanded,units_fulfilled,units_backordered,fill_rate_pct,revenue_usd
2023-03-01,2023-03,DrugA,Angiotrol,Middle East & Africa,4437,4227,210,95.27,105505.92
2023-03-01,2023-03,DrugB,Betacor,North America,15212,13588,1624,89.33,111285.72
2023-03-01,2023-03,DrugB,Betacor,Europe,11821,11018,803,93.21,90237.42
2023-03-01,2023-03,DrugB,Betacor,Asia-Pacific,9627,9447,180,98.14,77370.93
2023-03-01,2023-03,DrugB,Betacor,Latin America,4579,4408,171,96.27,36101.52
2023-03-01,2023-03,DrugB,Betacor,Middle East & Africa,2636,2447,189,92.84,20040.93
2023-03-01,2023-03,DrugC,Cholestat,North America,14572,14075,497,96.59,450118.5
2023-03-01,2023-03,DrugC,Cholestat,Europe,10715,10532,183,98.29,336813.36
2023-03-01,2023-03,DrugC,Cholestat,Asia-Pacific,10416,10002,414,96.03,319863.96
2023-03-01,2023-03,DrugC,Cholestat,Latin America,4429,4254,175,96.05,136042.92
2023-03-01,2023-03,DrugC,Cholestat,Middle East & Africa,2814,2541,273,90.29,81261.18
2023-04-01,2023-04,DrugY,Cardiovex,North America,76516,74243,2273,97.03,463276.32
2023-04-01,2023-04,DrugY,Cardiovex,Europe,58961,56811,2150,96.35,354500.64
2023-04-01,2023-04,DrugY,Cardiovex,Asia-Pacific,46364,44284,2080,95.51,276332.16
2023-04-01,2023-04,DrugY,Cardiovex,Latin America,22282,20729,1553,93.03,129348.96
2023-04-01,2023-04,DrugY,Cardiovex,Middle East & Africa,14698,13301,1397,90.5,82998.24
2023-04-01,2023-04,DrugX,Nephrolyte,North America,49604,46109,3495,92.95,221784.29
2023-04-01,2023-04,DrugX,Nephrolyte,Europe,35925,35434,491,98.63,170437.54
2023-04-01,2023-04,DrugX,Nephrolyte,Asia-Pacific,30700,30700,0,100.0,147667.0
2023-04-01,2023-04,DrugX,Nephrolyte,Latin America,12324,11692,632,94.87,56238.52
2023-04-01,2023-04,DrugX,Nephrolyte,Middle East & Africa,8795,8364,431,95.1,40230.84
2023-04-01,2023-04,DrugA,Angiotrol,North America,18323,17692,631,96.55,441592.32
2023-04-01,2023-04,DrugA,Angiotrol,Europe,14423,13361,1062,92.64,333490.56
2023-04-01,2023-04,DrugA,Angiotrol,Asia-Pacific,11781,10855,926,92.14,270940.8
2023-04-01,2023-04,DrugA,Angiotrol,Latin America,5719,5378,341,94.03,134234.88
2023-04-01,2023-04,DrugA,Angiotrol,Middle East & Africa,3964,3556,408,89.7,88757.76
2023-04-01,2023-04,DrugB,Betacor,North America,13426,12776,650,95.16,104635.44
2023-04-01,2023-04,DrugB,Betacor,Europe,11251,11251,0,100.0,92145.69
2023-04-01,2023-04,DrugB,Betacor,Asia-Pacific,8797,8618,179,97.96,70581.42
2023-04-01,2023-04,DrugB,Betacor,Latin America,3853,3700,153,96.02,30303.0
2023-04-01,2023-04,DrugB,Betacor,Middle East & Africa,2691,2548,143,94.69,20868.12
2023-04-01,2023-04,DrugC,Cholestat,North America,13082,12722,360,97.25,406849.56
2023-04-01,2023-04,DrugC,Cholestat,Europe,10812,10441,371,96.57,333903.18
2023-04-01,2023-04,DrugC,Cholestat,Asia-Pacific,8705,8705,0,100.0,278385.9
2023-04-01,2023-04,DrugC,Cholestat,Latin America,3900,3799,101,97.41,121492.02
2023-04-01,2023-04,DrugC,Cholestat,Middle East & Africa,2713,2624,89,96.7,83915.52
2023-05-01,2023-05,DrugY,Cardiovex,North America,73458,73073,385,99.48,455975.52
2023-05-01,2023-05,DrugY,Cardiovex,Europe,57970,57881,89,99.85,361177.44
2023-05-01,2023-05,DrugY,Cardiovex,Asia-Pacific,43255,40077,3178,92.65,250080.48
2023-05-01,2023-05,DrugY,Cardiovex,Latin America,21944,20275,1669,92.4,126516.0
2023-05-01,2023-05,DrugY,Cardiovex,Middle East & Africa,14575,14291,284,98.05,89175.84
2023-05-01,2023-05,DrugX,Nephrolyte,North America,41167,39068,2099,94.9,187917.08
2023-05-01,2023-05,DrugX,Nephrolyte,Europe,31166,30315,851,97.27,145815.15
2023-05-01,2023-05,DrugX,Nephrolyte,Asia-Pacific,27135,27135,0,100.0,130519.35
2023-05-01,2023-05,DrugX,Nephrolyte,Latin America,12507,12462,45,99.64,59942.22
2023-05-01,2023-05,DrugX,Nephrolyte,Middle East & Africa,9055,8781,274,96.97,42236.61
2023-05-01,2023-05,DrugA,Angiotrol,North America,16968,16968,0,100.0,423521.28
2023-05-01,2023-05,DrugA,Angiotrol,Europe,13570,12950,620,95.43,323232.0
2023-05-01,2023-05,DrugA,Angiotrol,Asia-Pacific,11111,10742,369,96.68,268120.32
2023-05-01,2023-05,DrugA,Angiotrol,Latin America,5027,4539,488,90.28,113293.44
2023-05-01,2023-05,DrugA,Angiotrol,Middle East & Africa,4180,3787,393,90.59,94523.52
2023-05-01,2023-05,DrugB,Betacor,North America,13170,13125,45,99.66,107493.75
2023-05-01,2023-05,DrugB,Betacor,Europe,10098,9670,428,95.76,79197.3
2023-05-01,2023-05,DrugB,Betacor,Asia-Pacific,7452,7195,257,96.56,58927.05
2023-05-01,2023-05,DrugB,Betacor,Latin America,3857,3750,107,97.24,30712.5
2023-05-01,2023-05,DrugB,Betacor,Middle East & Africa,2556,2543,13,99.48,20827.17
2023-05-01,2023-05,DrugC,Cholestat,North America,12842,12333,509,96.04,394409.34
2023-05-01,2023-05,DrugC,Cholestat,Europe,10179,9793,386,96.21,313180.14
2023-05-01,2023-05,DrugC,Cholestat,Asia-Pacific,7424,7424,0,100.0,237419.52
2023-05-01,2023-05,DrugC,Cholestat,Latin America,3743,3272,471,87.41,104638.56
2023-05-01,2023-05,DrugC,Cholestat,Middle East & Africa,2664,2626,38,98.58,83979.48
2023-06-01,2023-06,DrugY,Cardiovex,North America,69068,69068,0,100.0,430984.32
2023-06-01,2023-06,DrugY,Cardiovex,Europe,54132,51113,3019,94.42,318945.12
2023-06-01,2023-06,DrugY,Cardiovex,Asia-Pacific,43816,43816,0,100.0,273411.84
2023-06-01,2023-06,DrugY,Cardiovex,Latin America,20746,19086,1660,92.0,119096.64
2023-06-01,2023-06,DrugY,Cardiovex,Middle East & Africa,14629,13669,960,93.43,85294.56
2023-06-01,2023-06,DrugX,Nephrolyte,North America,39018,37741,1277,96.73,181534.21
2023-06-01,2023-06,DrugX,Nephrolyte,Europe,34396,31677,2719,92.09,152366.37
2023-06-01,2023-06,DrugX,Nephrolyte,Asia-Pacific,24956,24456,500,98.0,117633.36
2023-06-01,2023-06,DrugX,Nephrolyte,Latin America,11636,11125,511,95.6,53511.25
2023-06-01,2023-06,DrugX,Nephrolyte,Middle East & Africa,8545,7742,803,90.6,37239.02
2023-06-01,2023-06,DrugA,Angiotrol,North America,16351,16351,0,100.0,408120.96
2023-06-01,2023-06,DrugA,Angiotrol,Europe,12719,12380,339,97.33,309004.8
2023-06-01,2023-06,DrugA,Angiotrol,Asia-Pacific,10671,9671,1000,90.63,241388.16
2023-06-01,2023-06,DrugA,Angiotrol,Latin America,4701,4353,348,92.59,108650.88
2023-06-01,2023-06,DrugA,Angiotrol,Middle East & Africa,3628,3345,283,92.2,83491.2
2023-06-01,2023-06,DrugB,Betacor,North America,12417,11754,663,94.66,96265.26
2023-06-01,2023-06,DrugB,Betacor,Europe,9517,9295,222,97.67,76126.05
2023-06-01,2023-06,DrugB,Betacor,Asia-Pacific,7575,7478,97,98.72,61244.82
2023-06-01,2023-06,DrugB,Betacor,Latin America,3470,3392,78,97.74,27780.48
2023-06-01,2023-06,DrugB,Betacor,Middle East & Africa,2219,2021,198,91.06,16551.99
2023-06-01,2023-06,DrugC,Cholestat,North America,11320,10560,760,93.29,337708.8
2023-06-01,2023-06,DrugC,Cholestat,Europe,9406,9090,316,96.64,290698.2
2023-06-01,2023-06,DrugC,Cholestat,Asia-Pacific,8154,8020,134,98.35,256479.6
2023-06-01,2023-06,DrugC,Cholestat,Latin America,3330,3193,137,95.89,102112.14
2023-06-01,2023-06,DrugC,Cholestat,Middle East & Africa,2507,2428,79,96.84,77647.44
2023-07-01,2023-07,DrugY,Cardiovex,North America,65655,61690,3965,93.96,384945.6
2023-07-01,2023-07,DrugY,Cardiovex,Europe,51769,48397,3372,93.49,301997.28
2023-07-01,2023-07,DrugY,Cardiovex,Asia-Pacific,43782,43103,679,98.45,268962.72
2023-07-01,2023-07,DrugY,Cardiovex,Latin America,18606,17861,745,96.0,111452.64
2023-07-01,2023-07,DrugY,Cardiovex,Middle East & Africa,13564,12888,676,95.01,80421.12
2023-07-01,2023-07,DrugX,Nephrolyte,North America,37136,35103,2033,94.53,168845.43
2023-07-01,2023-07,DrugX,Nephrolyte,Europe,31789,31081,708,97.77,149499.61
2023-07-01,2023-07,DrugX,Nephrolyte,Asia-Pacific,25853,24930,923,96.43,119913.3
2023-07-01,2023-07,DrugX,Nephrolyte,Latin America,10553,10101,452,95.72,48585.81
2023-07-01,2023-07,DrugX,Nephrolyte,Middle East & Africa,7932,7353,579,92.7,35367.93
2023-07-01,2023-07,DrugA,Angiotrol,North America,14937,13795,1142,92.35,344323.2
2023-07-01,2023-07,DrugA,Angiotrol,Europe,12507,12044,463,96.3,300618.24
2023-07-01,2023-07,DrugA,Angiotrol,Asia-Pacific,11052,11052,0,100.0,275857.92
2023-07-01,2023-07,DrugA,Angiotrol,Latin America,4715,4573,142,96.98,114142.08
2023-07-01,2023-07,DrugA,Angiotrol,Middle East & Africa,3432,3361,71,97.94,83890.56
2023-07-01,2023-07,DrugB,Betacor,North America,12270,12270,0,100.0,100491.3
2023-07-01,2023-07,DrugB,Betacor,Europe,9427,9063,364,96.14,74225.97
2023-07-01,2023-07,DrugB,Betacor,Asia-Pacific,7440,7151,289,96.12,58566.69
2023-07-01,2023-07,DrugB,Betacor,Latin America,3306,3036,270,91.82,24864.84
2023-07-01,2023-07,DrugB,Betacor,Middle East & Africa,2113,1895,218,89.68,15520.05
2023-07-01,2023-07,DrugC,Cholestat,North America,11265,10864,401,96.44,347430.72
2023-07-01,2023-07,DrugC,Cholestat,Europe,9255,8938,317,96.57,285837.24
2023-07-01,2023-07,DrugC,Cholestat,Asia-Pacific,7661,7308,353,95.4,233709.84
2023-07-01,2023-07,DrugC,Cholestat,Latin America,3524,3417,107,96.96,109275.66
2023-07-01,2023-07,DrugC,Cholestat,Middle East & Africa,2275,2234,41,98.18,71443.32
2023-08-01,2023-08,DrugY,Cardiovex,North America,66012,63478,2534,96.16,396102.72
2023-08-01,2023-08,DrugY,Cardiovex,Europe,53158,52177,981,98.15,325584.48
2023-08-01,2023-08,DrugY,Cardiovex,Asia-Pacific,47085,43934,3151,93.31,274148.16
2023-08-01,2023-08,DrugY,Cardiovex,Latin America,20711,20711,0,100.0,129236.64
2023-08-01,2023-08,DrugY,Cardiovex,Middle East & Africa,14718,13598,1120,92.39,84851.52
2023-08-01,2023-08,DrugX,Nephrolyte,North America,42128,40973,1155,97.26,197080.13
2023-08-01,2023-08,DrugX,Nephrolyte,Europe,29648,27592,2056,93.06,132717.52
2023-08-01,2023-08,DrugX,Nephrolyte,Asia-Pacific,23978,23048,930,96.12,110860.88
2023-08-01,2023-08,DrugX,Nephrolyte,Latin America,11836,11297,539,95.44,54338.57
2023-08-01,2023-08,DrugX,Nephrolyte,Middle East & Africa,7804,7117,687,91.2,34232.77
2023-08-01,2023-08,DrugA,Angiotrol,North America,17209,16955,254,98.52,423196.8
2023-08-01,2023-08,DrugA,Angiotrol,Europe,13465,12610,855,93.65,314745.6
2023-08-01,2023-08,DrugA,Angiotrol,Asia-Pacific,10674,10432,242,97.73,260382.72
2023-08-01,2023-08,DrugA,Angiotrol,Latin America,4784,4632,152,96.82,115614.72
2023-08-01,2023-08,DrugA,Angiotrol,Middle East & Africa,3430,3218,212,93.82,80321.28
2023-08-01,2023-08,DrugB,Betacor,North America,12420,12000,420,96.62,98280.0
2023-08-01,2023-08,DrugB,Betacor,Europe,8992,8280,712,92.08,67813.2
2023-08-01,2023-08,DrugB,Betacor,Asia-Pacific,6881,6614,267,96.11,54168.66
2023-08-01,2023-08,DrugB,Betacor,Latin America,3450,3450,0,99.99,28255.5
2023-08-01,2023-08,DrugB,Betacor,Middle East & Africa,2472,2374,98,96.03,19443.06
2023-08-01,2023-08,DrugC,Cholestat,North America,11455,10809,646,94.36,345671.82
2023-08-01,2023-08,DrugC,Cholestat,Europe,9696,9243,453,95.33,295591.14
2023-08-01,2023-08,DrugC,Cholestat,Asia-Pacific,7280,7268,12,99.84,232430.64
2023-08-01,2023-08,DrugC,Cholestat,Latin America,3414,3159,255,92.54,101024.82
2023-08-01,2023-08,DrugC,Cholestat,Middle East & Africa,2665,2466,199,92.53,78862.68
2023-09-01,2023-09,DrugY,Cardiovex,North America,70399,70399,0,100.0,439289.76
2023-09-01,2023-09,DrugY,Cardiovex,Europe,62848,60729,2119,96.63,378948.96
2023-09-01,2023-09,DrugY,Cardiovex,Asia-Pacific,50449,48132,2317,95.41,300343.68
2023-09-01,2023-09,DrugY,Cardiovex,Latin America,20219,18598,1621,91.98,116051.52
2023-09-01,2023-09,DrugY,Cardiovex,Middle East & Africa,15858,15247,611,96.15,95141.28
2023-09-01,2023-09,DrugX,Nephrolyte,North America,43363,40867,2496,94.24,196570.27
2023-09-01,2023-09,DrugX,Nephrolyte,Europe,33264,32463,801,97.59,156147.03
2023-09-01,2023-09,DrugX,Nephrolyte,Asia-Pacific,26248,24175,2073,92.1,116281.75
2023-09-01,2023-09,DrugX,Nephrolyte,Latin America,12276,11709,567,95.38,56320.29
2023-09-01,2023-09,DrugX,Nephrolyte,Middle East & Africa,8677,8612,65,99.25,41423.72
2023-09-01,2023-09,DrugA,Angiotrol,North America,19676,19147,529,97.31,477909.12
2023-09-01,2023-09,DrugA,Angiotrol,Europe,13743,13402,341,97.52,334513.92
2023-09-01,2023-09,DrugA,Angiotrol,Asia-Pacific,11513,10062,1451,87.4,251147.52
2023-09-01,2023-09,DrugA,Angiotrol,Latin America,5824,5337,487,91.64,133211.52
2023-09-01,2023-09,DrugA,Angiotrol,Middle East & Africa,4119,3887,232,94.36,97019.52
2023-09-01,2023-09,DrugB,Betacor,North America,13469,13469,0,100.0,110311.11
2023-09-01,2023-09,DrugB,Betacor,Europe,10506,10215,291,97.23,83660.85
2023-09-01,2023-09,DrugB,Betacor,Asia-Pacific,8254,7959,295,96.43,65184.21
2023-09-01,2023-09,DrugB,Betacor,Latin America,3477,3237,240,93.1,26511.03
2023-09-01,2023-09,DrugB,Betacor,Middle East & Africa,2354,2194,160,93.2,17968.86
2023-09-01,2023-09,DrugC,Cholestat,North America,11727,11522,205,98.26,368473.56
2023-09-01,2023-09,DrugC,Cholestat,Europe,8946,8539,407,95.45,273077.22
2023-09-01,2023-09,DrugC,Cholestat,Asia-Pacific,8275,7990,285,96.56,255520.2
2023-09-01,2023-09,DrugC,Cholestat,Latin America,3426,3399,27,99.22,108700.02
2023-09-01,2023-09,DrugC,Cholestat,Middle East & Africa,2602,2420,182,93.0,77391.6
2023-10-01,2023-10,DrugY,Cardiovex,North America,74311,71332,2979,95.99,445111.68
2023-10-01,2023-10,DrugY,Cardiovex,Europe,57578,55589,1989,96.55,346875.36
2023-10-01,2023-10,DrugY,Cardiovex,Asia-Pacific,46408,43664,2744,94.09,272463.36
2023-10-01,2023-10,DrugY,Cardiovex,Latin America,22704,21068,1636,92.8,131464.32
2023-10-01,2023-10,DrugY,Cardiovex,Middle East & Africa,15714,14557,1157,92.63,90835.68
2023-10-01,2023-10,DrugX,Nephrolyte,North America,46674,46394,280,99.4,223155.14
2023-10-01,2023-10,DrugX,Nephrolyte,Europe,39663,39366,297,99.25,189350.46
2023-10-01,2023-10,DrugX,Nephrolyte,Asia-Pacific,32295,31965,330,98.98,153751.65
2023-10-01,2023-10,DrugX,Nephrolyte,Latin America,13686,12887,799,94.16,61986.47
2023-10-01,2023-10,DrugX,Nephrolyte,Middle East & Africa,10474,9898,576,94.5,47609.38
2023-10-01,2023-10,DrugA,Angiotrol,North America,18776,18403,373,98.01,459338.88
2023-10-01,2023-10,DrugA,Angiotrol,Europe,17106,16909,197,98.85,422048.64
2023-10-01,2023-10,DrugA,Angiotrol,Asia-Pacific,12743,12652,91,99.28,315793.92
2023-10-01,2023-10,DrugA,Angiotrol,Latin America,5542,5341,201,96.38,133311.36
2023-10-01,2023-10,DrugA,Angiotrol,Middle East & Africa,4037,3730,307,92.38,93100.8
2023-10-01,2023-10,DrugB,Betacor,North America,13294,12896,398,97.01,105618.24
2023-10-01,2023-10,DrugB,Betacor,Europe,10983,10907,76,99.31,89328.33
2023-10-01,2023-10,DrugB,Betacor,Asia-Pacific,8503,8503,0,100.0,69639.57
2023-10-01,2023-10,DrugB,Betacor,Latin America,4121,3966,155,96.24,32481.54
2023-10-01,2023-10,DrugB,Betacor,Middle East & Africa,2963,2662,301,89.83,21801.78
2023-10-01,2023-10,DrugC,Cholestat,North America,15261,14411,850,94.43,460863.78
2023-10-01,2023-10,DrugC,Cholestat,Europe,11521,11266,255,97.79,360286.68
2023-10-01,2023-10,DrugC,Cholestat,Asia-Pacific,8801,8631,170,98.07,276019.38
2023-10-01,2023-10,DrugC,Cholestat,Latin America,4039,3890,149,96.31,124402.2
2023-10-01,2023-10,DrugC,Cholestat,Middle East & Africa,2946,2784,162,94.51,89032.32
2023-11-01,2023-11,DrugY,Cardiovex,North America,86840,82236,4604,94.7,513152.64
2023-11-01,2023-11,DrugY,Cardiovex,Europe,64873,64224,649,99.0,400757.76
2023-11-01,2023-11,DrugY,Cardiovex,Asia-Pacific,53140,53140,0,100.0,331593.6
2023-11-01,2023-11,DrugY,Cardiovex,Latin America,24014,22859,1155,95.19,142640.16
2023-11-01,2023-11,DrugY,Cardiovex,Middle East & Africa,18170,17784,386,97.87,110972.16
2023-11-01,2023-11,DrugX,Nephrolyte,North America,51217,51217,0,100.0,246353.77
2023-11-01,2023-11,DrugX,Nephrolyte,Europe,37039,33238,3801,89.74,159874.78
2023-11-01,2023-11,DrugX,Nephrolyte,Asia-Pacific,30340,27639,2701,91.1,132943.59
2023-11-01,2023-11,DrugX,Nephrolyte,Latin America,13976,13054,922,93.4,62789.74
2023-11-01,2023-11,DrugX,Nephrolyte,Middle East & Africa,10169,9467,702,93.1,45536.27
2023-11-01,2023-11,DrugA,Angiotrol,North America,20298,19566,732,96.39,488367.36
2023-11-01,2023-11,DrugA,Angiotrol,Europe,17831,16900,931,94.78,421824.0
2023-11-01,2023-11,DrugA,Angiotrol,Asia-Pacific,13782,13596,186,98.65,339356.16
2023-11-01,2023-11,DrugA,Angiotrol,Latin America,6615,6195,420,93.65,154627.2
2023-11-01,2023-11,DrugA,Angiotrol,Middle East & Africa,4716,4407,309,93.44,109998.72
2023-11-01,2023-11,DrugB,Betacor,North America,15495,14384,1111,92.83,117804.96
2023-11-01,2023-11,DrugB,Betacor,Europe,11466,10612,854,92.55,86912.28
2023-11-01,2023-11,DrugB,Betacor,Asia-Pacific,9701,9139,562,94.2,74848.41
2023-11-01,2023-11,DrugB,Betacor,Latin America,4247,4070,177,95.83,33333.3
2023-11-01,2023-11,DrugB,Betacor,Middle East & Africa,3239,3041,198,93.9,24905.79
2023-11-01,2023-11,DrugC,Cholestat,North America,15193,14606,587,96.14,467099.88
2023-11-01,2023-11,DrugC,Cholestat,Europe,11358,10773,585,94.85,344520.54
2023-11-01,2023-11,DrugC,Cholestat,Asia-Pacific,10400,9836,564,94.58,314555.28
2023-11-01,2023-11,DrugC,Cholestat,Latin America,4858,4547,311,93.6,145413.06
2023-11-01,2023-11,DrugC,Cholestat,Middle East & Africa,2984,2984,0,100.0,95428.32
2023-12-01,2023-12,DrugY,Cardiovex,North America,96970,91780,5190,94.65,572707.2
2023-12-01,2023-12,DrugY,Cardiovex,Europe,71464,64149,7315,89.76,400289.76
2023-12-01,2023-12,DrugY,Cardiovex,Asia-Pacific,60677,57057,3620,94.03,356035.68
2023-12-01,2023-12,DrugY,Cardiovex,Latin America,26532,24276,2256,91.5,151482.24
2023-12-01,2023-12,DrugY,Cardiovex,Middle East & Africa,19781,18242,1539,92.22,113830.08
2023-12-01,2023-12,DrugX,Nephrolyte,North America,54844,52645,2199,95.99,253222.45
2023-12-01,2023-12,DrugX,Nephrolyte,Europe,45938,45343,595,98.71,218099.83
2023-12-01,2023-12,DrugX,Nephrolyte,Asia-Pacific,35003,33287,1716,95.1,160110.47
2023-12-01,2023-12,DrugX,Nephrolyte,Latin America,14962,13471,1491,90.03,64795.51
2023-12-01,2023-12,DrugX,Nephrolyte,Middle East & Africa,10338,9850,488,95.28,47378.5
2023-12-01,2023-12,DrugA,Angiotrol,North America,23846,23801,45,99.81,594072.96
2023-12-01,2023-12,DrugA,Angiotrol,Europe,18172,17515,657,96.39,437174.4
2023-12-01,2023-12,DrugA,Angiotrol,Asia-Pacific,14480,13696,784,94.58,341852.16
2023-12-01,2023-12,DrugA,Angiotrol,Latin America,6967,6474,493,92.92,161591.04
2023-12-01,2023-12,DrugA,Angiotrol,Middle East & Africa,4770,4521,249,94.78,112844.16
2023-12-01,2023-12,DrugB,Betacor,North America,15923,15311,612,96.16,125397.09
2023-12-01,2023-12,DrugB,Betacor,Europe,13370,13081,289,97.84,107133.39
2023-12-01,2023-12,DrugB,Betacor,Asia-Pacific,10497,10270,227,97.84,84111.3
2023-12-01,2023-12,DrugB,Betacor,Latin America,4588,4512,76,98.35,36953.28
2023-12-01,2023-12,DrugB,Betacor,Middle East & Africa,3462,3219,243,92.98,26363.61
2023-12-01,2023-12,DrugC,Cholestat,North America,16024,15339,685,95.72,490541.22
