snapshot_month,warehouse_id,warehouse_name,region,drug_code,brand_name,is_cold_chain,unit_cost_usd,units_on_hand,monthly_demand_units,units_issued,safety_stock,reorder_point,months_of_supply,days_to_expiry,units_expiring_soon,warehouse_capacity,inventory_value_usd
2023-06,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,16429.0,8175,7892,4046,13856,2.01,360,1732,620000,157718.4
2023-06,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,9826.0,6208,6208,3072,10521,1.58,315,2064,620000,30951.9
2023-06,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,10401.0,5660,4777,2801,9593,1.84,152,2503,620000,127932.3
2023-06,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,62614.0,19509,18431,9656,33066,3.21,398,2594,620000,115835.9
2023-06,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,90295.0,34534,34107,17094,58534,2.61,448,2993,620000,216708.0
2023-07,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,7381.0,7468,7468,3696,12657,0.99,301,1167,620000,70857.6
2023-07,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,18506.0,6135,5218,3036,10398,3.02,282,1436,620000,58293.9
2023-07,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,15181.0,5632,5171,2787,9545,2.7,544,471,620000,186726.3
2023-07,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,78424.0,18568,18568,9191,31472,4.22,485,3145,620000,145084.4
2023-07,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,103167.0,32827,31274,16249,55641,3.14,726,3933,620000,247600.8
2023-08,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,11969.0,8604,7818,4258,14582,1.39,54,1159,620000,114902.4
2023-08,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,23618.0,6210,6210,3073,10525,3.8,452,1211,620000,74396.7
2023-08,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,9299.0,5727,5165,2834,9706,1.62,76,726,620000,114377.7
2023-08,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,62158.0,21064,18849,10426,35702,2.95,574,1993,620000,114992.3
2023-08,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,67516.0,33006,32673,16337,55944,2.05,397,6639,620000,162038.4
2023-09,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,19236.0,9838,9838,4869,16674,1.96,256,999,620000,184665.6
2023-09,WH-NA-01,Newark DC,NORTH AMERICA,DrugB,Betacor,0,3.15,13767.0,6734,6734,3333,11413,2.04,270,1149,620000,43366.05
2023-09,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,25691.0,5863,5586,2902,9937,4.38,459,4338,620000,315999.3
2023-09,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,70113.0,21681,21681,10732,36749,3.23,446,3122,620000,129709.05
2023-09,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,130733.0,35199,32338,17423,59661,3.71,436,9462,620000,313759.2
2023-10,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,24405.0,9388,8323,4647,15912,2.6,176,4039,620000,234288.0
2023-10,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,18858.0,6647,6398,3290,11266,2.84,401,584,620000,59402.7
2023-10,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,14645.0,7630,7265,3776,12932,1.92,110,2025,620000,180133.5
2023-10,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,56280.0,23337,21576,11551,39555,2.41,456,3073,620000,104118.0
2023-10,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,140148.0,37155,35337,18391,62977,3.77,734,6224,620000,336355.2
2023-11,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,14595.0,10149,8911,5023,17201,1.44,316,1927,620000,140112.0
2023-11,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,33840.0,7747,7361,3834,13130,4.37,305,743,620000,106596.0
2023-11,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,14020.0,7596,7596,3760,12875,1.85,21,920,620000,172446.0
2023-11,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,108961.0,25608,25608,12675,43404,4.25,245,12650,620000,201577.85
2023-11,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,160300.0,43420,39165,21492,73596,3.69,498,14900,620000,384720.0
2023-12,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,5825.0,11923,10170,5901,20208,0.49,475,337,620000,55920.0
2023-12,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,33523.0,7961,7077,3940,13493,4.21,510,1670,620000,105597.45
2023-12,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,16459.0,8012,7660,3965,13579,2.05,166,1254,620000,202445.7
2023-12,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,71943.0,27422,27422,13573,46479,2.62,202,2692,620000,133094.55
2023-12,WH-NA-01,Newark DC,N. America,DrugY,Cardiovex,0,2.4,213667.0,48485,47294,24000,82182,4.41,574,56077,620000,512800.8
2024-01,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,9732.0,12093,12093,5986,20497,0.8,255,576,620000,93427.2
2024-01,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,24799.0,7867,7385,3894,13334,3.15,191,1390,620000,78116.85
2024-01,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,12285.0,8025,7949,3972,13602,1.53,432,130,620000,151105.5
2024-01,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,135743.0,31491,29989,15588,53377,4.31,181,42747,620000,251124.55
2024-01,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,169922.0,46492,45530,23013,78803,3.65,368,35228,620000,407812.8
2024-02,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,13076.0,12153,11552,6015,20598,1.08,205,1088,620000,125529.6
2024-02,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,30879.0,8359,7410,4137,14167,3.69,218,5781,620000,97268.85
2024-02,WH-NA-01,Newark DC,north america,DrugC,Cholestat,1,12.3,21247.0,8917,7425,4413,15113,2.38,90,619,620000,261338.1
2024-02,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,51063.0,26648,25304,13190,45167,1.92,571,8435,620000,94466.55
2024-02,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,117430.0,47292,41777,23409,80159,2.48,320,6946,620000,281832.0
2024-03,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,14661.0,10556,10233,5225,17892,1.39,33,2661,620000,140745.6
2024-03,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,22809.0,7913,7913,3916,13411,2.88,381,4143,620000,71848.35
2024-03,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,12656.0,7135,6246,3531,12093,1.77,202,2259,620000,155668.8
2024-03,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,75360.0,24317,24036,12036,41216,3.1,504,6160,620000,139416.0
2024-03,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,155532.0,42137,35953,20857,71421,3.69,568,10020,620000,373276.8
2024-04,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,21112.0,10223,8059,5060,17327,2.07,135,2722,620000,202675.2
2024-04,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,18765.0,7757,7757,3839,13147,2.42,328,1124,620000,59109.75
2024-04,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,8669.0,7351,7170,3638,12459,1.18,147,2364,620000,106628.7
2024-04,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,58683.0,23891,23891,11826,40495,2.46,186,5884,620000,108563.55
2024-04,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,125677.0,41078,41078,20333,69626,3.06,532,17631,620000,301624.8
2024-05,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,9029.0,9079,8240,4494,15388,0.99,74,1221,620000,86678.4
2024-05,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,22606.0,6808,6327,3369,11538,3.32,282,3154,620000,71208.9
2024-05,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,8044.0,6174,5855,3056,10464,1.3,304,765,620000,98941.2
2024-05,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,46967.0,21906,21176,10843,37130,2.14,344,2527,620000,86888.95
2024-05,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,26189.0,35922,35922,17781,60887,0.73,342,825,620000,62853.6
2024-06,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,11036.0,9233,9233,4570,15649,1.2,262,2112,620000,105945.6
2024-06,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,13707.0,6286,6097,3111,10654,2.18,308,3379,620000,43177.05
2024-06,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,4180.0,5981,5442,2960,10137,0.7,286,334,620000,51414.0
2024-06,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,93261.0,21194,19922,10491,35923,4.4,416,6651,620000,172532.85
2024-06,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,105844.0,32753,30740,16212,55515,3.23,402,6149,620000,254025.6
2024-07,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,13151.0,8371,8371,4143,14188,1.57,174,2002,620000,126249.6
2024-07,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,14734.0,5846,5353,2893,9908,2.52,282,649,620000,46412.1
2024-07,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,18109.0,6462,6142,3198,10952,2.8,304,3025,620000,222740.7
2024-07,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,28826.0,19425,19425,9615,32925,1.48,499,2498,620000,53328.1
2024-07,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,33402.0,33802,31281,16731,57293,0.99,603,11814,620000,80164.8
2024-08,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,9029.0,8405,7990,4160,14246,1.07,329,1362,620000,86678.4
2024-08,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,10097.0,6298,6232,3117,10674,1.6,271,1005,620000,31805.55
2024-08,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,11256.0,6204,6098,3070,10514,1.81,100,2548,620000,138448.8
2024-08,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,51661.0,21887,21437,10834,37098,2.36,426,1680,620000,95572.85
2024-08,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,84244.0,34812,33073,17231,59005,2.42,559,6859,620000,202185.6
2024-09,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,16345.0,10430,9611,5162,17678,1.57,20,2353,620000,156912.0
2024-09,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,36254.0,7113,6355,3520,12055,5.1,200,7220,620000,114200.1
2024-09,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,5228.0,6701,6279,3316,11357,0.78,339,1454,620000,64304.4
2024-09,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,80373.0,23064,23064,11416,39092,3.48,399,5094,620000,148690.05
2024-09,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,133720.0,38105,35696,18861,64587,3.51,523,6055,620000,320928.0
2024-10,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,10642.0,10485,9568,5190,17772,1.02,232,1881,620000,102163.2
2024-10,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,21727.0,7418,7079,3671,12572,2.93,270,1060,620000,68440.05
2024-10,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,11929.0,7934,7934,3927,13447,1.5,249,570,620000,146726.7
2024-10,WH-NA-01,Newark DC,NORTH AMERICA,DrugX,Nephrolyte,0,1.85,69168.0,24379,23238,12067,41321,2.84,477,1287,620000,127960.8
2024-10,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,79407.0,44509,39702,22031,75441,1.78,435,2580,620000,190576.8
2024-11,WH-NA-01,Newark DC,north america,DrugA,Angiotrol,1,9.6,9823.0,12069,12069,5974,20456,0.81,444,262,620000,94300.8
2024-11,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,25539.0,8163,7356,4040,13835,3.13,201,2319,620000,80447.85
2024-11,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,24384.0,8771,7822,4341,14866,2.78,108,854,620000,299923.2
2024-11,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,91264.0,28408,28408,14061,48150,3.21,377,21680,620000,168838.4
2024-11,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,72011.0,44040,42937,21799,74647,1.64,674,13200,620000,172826.4
2024-12,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,13356.0,12572,11877,6223,21309,1.06,120,118,620000,128217.6
2024-12,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,29782.0,8788,7567,4350,14895,3.39,295,6089,620000,93813.3
2024-12,WH-NA-01,Newark DC,NORTH AMERICA,DrugC,Cholestat,1,12.3,26138.0,8895,7988,4403,15077,2.94,155,2879,620000,321497.4
2024-12,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,78477.0,29988,29988,14844,50829,2.62,438,2893,620000,145182.45
2024-12,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,180740.0,53155,47091,26311,90097,3.4,510,66237,620000,433776.0
2025-01,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,20703.0,12669,11109,6271,21473,1.63,123,2507,620000,198748.8
2025-01,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,18961.0,8327,7569,4121,14113,2.28,150,5042,620000,59727.15
2025-01,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,1885.0,9425,8178,4665,15975,0.2,269,64,620000,23185.5
2025-01,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,98042.0,31045,29385,15367,52621,3.16,357,860,620000,181377.7
2025-01,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,173633.0,52051,52051,25765,88226,3.34,948,18697,620000,416719.2
2025-02,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,32603.0,13101,12192,6484,22205,2.49,247,4892,620000,312988.8
2025-02,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,28890.0,8378,8378,4147,14200,3.45,184,1023,620000,91003.5
2025-02,WH-NA-01,Newark DC,N. America,DrugC,Cholestat,1,12.3,19199.0,8931,8931,4420,15137,2.15,190,1094,620000,236147.7
2025-02,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,71283.0,29194,26420,14451,49483,2.44,457,6208,620000,131873.55
2025-02,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,116936.0,47832,46219,23676,81074,2.44,233,19142,620000,280646.4
2025-03,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,18193.0,10123,9483,5010,17157,1.8,270,1083,620000,174652.8
2025-03,WH-NA-01,Newark DC,N. America,DrugB,Betacor,0,3.15,19161.0,8390,7211,4153,14221,2.28,298,4015,620000,60357.15
2025-03,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,26889.0,8309,7603,4112,14082,3.24,462,827,620000,330734.7
2025-03,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,97068.0,29958,29958,14829,50778,3.24,469,1846,620000,179575.8
2025-03,WH-NA-01,Newark DC,north america,DrugY,Cardiovex,0,2.4,162933.0,44415,41595,21985,75283,3.67,574,12750,620000,391039.2
2025-04,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,18029.0,10827,10435,5359,18351,1.67,425,6895,620000,173078.4
2025-04,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,17672.0,6747,6074,3339,11435,2.62,295,324,620000,55666.8
2025-04,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,11085.0,8037,6589,3978,13622,1.38,395,42,620000,136345.5
2025-04,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,68744.0,28332,28187,14024,48022,2.43,346,947,620000,127176.4
2025-04,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,81912.0,47165,42325,23346,79944,1.74,299,15141,620000,196588.8
2025-05,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,14206.0,9444,8858,4674,16006,1.5,101,6397,620000,136377.6
2025-05,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,22738.0,7269,6818,3598,12320,3.13,217,4765,620000,71624.7
2025-05,WH-NA-01,Newark DC,north america,DrugC,Cholestat,1,12.3,24815.0,7278,5302,3602,12335,3.41,254,1792,620000,305224.5
2025-05,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,51982.0,22473,20574,11124,38091,2.31,152,2072,620000,96166.7
2025-05,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,152875.0,39795,35131,19698,67452,3.84,474,5835,620000,366900.0
2025-06,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,15051.0,9666,8665,4784,16383,1.56,285,2824,620000,144489.6
2025-06,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,21519.0,7314,7152,3620,12396,2.94,466,629,620000,67784.85
2025-06,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,9005.0,6546,6438,3240,11095,1.38,239,539,620000,110761.5
2025-06,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,90535.0,21784,21155,10783,36923,4.16,599,5996,620000,167489.75
2025-06,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,148734.0,40234,40234,19915,68195,3.7,317,14928,620000,356961.6
2025-07,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,15399.0,9547,9547,4725,16181,1.61,108,660,620000,147830.4
2025-07,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,18332.0,6990,6565,3460,11848,2.62,379,1635,620000,57745.8
2025-07,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,8682.0,6855,6811,3393,11619,1.27,155,1987,620000,106788.6
2025-07,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,,22779,20119,11275,38609,4.49,327,30809,620000,189119.95
2025-07,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,107281.0,38268,38268,18942,64863,2.8,320,9461,620000,257474.4
2025-08,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,19375.0,9511,9511,4707,16120,2.04,91,5075,620000,186000.0
2025-08,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,20898.0,6794,6383,3363,11515,3.08,260,2311,620000,65828.7
2025-08,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,9363.0,7332,6809,3629,12427,1.28,200,3286,620000,115164.9
2025-08,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,96166.0,23107,22288,11437,39165,4.16,392,4179,620000,177907.1
2025-08,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,137881.0,40225,34249,19911,68181,3.43,687,3079,620000,330914.4
2025-09,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,25328.0,10692,10406,5292,18122,2.37,248,1004,620000,243148.8
2025-09,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,38849.0,6911,6354,3420,11713,5.62,182,11863,620000,122374.35
2025-09,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,14302.0,7567,6743,3745,12825,1.89,212,1231,620000,175914.6
2025-09,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,70119.0,27420,24400,13572,46476,2.56,501,5306,620000,129720.15
2025-09,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,163617.0,39705,35702,19653,67299,4.12,418,17052,620000,392680.8
2025-10,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,12198.0,11695,11115,5789,19823,1.04,280,1612,620000,117100.8
2025-10,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,,7791,7593,3856,13205,1.35,400,934,620000,33122.25
2025-10,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,20285.0,8609,7024,4261,14591,2.36,167,3751,620000,249505.5
2025-10,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,59406.0,29904,29904,14802,50686,1.99,188,12758,620000,109901.1
2025-10,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,114319.0,43460,37219,21512,73664,2.63,524,5450,620000,274365.6
2025-11,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,25574.0,12981,12719,6425,22002,1.97,254,246,620000,245510.4
2025-11,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,40265.0,9116,9009,4512,15451,4.42,428,9158,620000,126834.75
2025-11,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,1748.0,8741,8451,4326,14815,0.2,230,72,620000,21500.4
2025-11,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,73211.0,29695,29695,14699,50333,2.47,445,12390,620000,135440.35
2025-11,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,200413.0,51668,44040,25575,87576,3.88,456,10870,620000,480991.2
2025-12,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,26507.0,13538,13220,6701,22946,1.96,365,1378,620000,254467.2
2025-12,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,37057.0,9288,9221,4597,15742,3.99,400,960,620000,116729.55
2025-12,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,32040.0,9890,8667,4895,16763,3.24,143,917,620000,394092.0
2025-12,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,69882.0,33073,32381,16371,56058,2.11,390,5494,620000,129281.7
2025-12,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,288394.0,53668,50008,26565,90966,5.37,467,75075,620000,692145.6
2023-01,WH-NA-02,Memphis Hub,North America,DrugA,Angiotrol,1,9.6,33726.0,10992,10942,5441,18631,3.07,350,6518,480000,323769.6
2023-01,WH-NA-02,Memphis Hub,North America,DrugB,Betacor,0,3.15,30761.0,7777,7777,3849,13181,3.96,440,429,480000,96897.15
2023-01,WH-NA-02,Memphis Hub,North America,DrugC,Cholestat,1,12.3,11625.0,7817,7433,3869,13249,1.49,309,828,480000,142987.5
2023-01,WH-NA-02,Memphis Hub,North America,DrugX,Nephrolyte,0,1.85,30384.0,24890,21503,12320,42188,1.22,266,5066,480000,56210.4
2023-01,WH-NA-02,Memphis Hub,North America,DrugY,Cardiovex,0,2.4,109334.0,43891,42730,21726,74395,2.49,312,12224,480000,262401.6
2023-02,WH-NA-02,Memphis Hub,North America,DrugA,Angiotrol,1,9.6,22170.0,10971,9960,5430,18595,2.02,426,3639,480000,212832.0
2023-02,WH-NA-02,Memphis Hub,North America,DrugB,Betacor,0,3.15,14043.0,7739,7088,3830,13116,1.81,391,957,480000,44235.45
