shipment_id,batch_id,leg,leg_sequence,drug_code,region,warehouse_id,supplier_id,supplier_name,carrier,transport_mode,is_cold_chain,units_shipped,units_received,planned_transit_days,actual_transit_days,ship_date,delivery_date,delay_days,is_late,units_damaged,damage_rate_pct,temperature_excursion,freight_cost_usd,year_month
SHP-1-00019,BATCH-00019,Plant to Warehouse,1,DrugA,North America,WH-NA-02,SUP-05,Cambrex Corporation,FedEx Custom Critical,Air,1,44704,44002,3.0,3.0,2024-03-23,2024-03-26,0.0,0,702,1.57,0,29102.3,2024-03
SHP-1-00020,BATCH-00020,Plant to Warehouse,1,DrugX,North America,WH-NA-02,SUP-08,Siegfried Holding,Regional 3PL,Road,0,24028,23651,6.0,12.0,2024-09-14,2024-09-26,6.0,1,377,1.57,0,3844.48,2024-09
SHP-1-00021,BATCH-00021,Plant to Warehouse,1,DrugA,Europe,WH-EU-01,SUP-05,Cambrex Corporation,Kuehne+Nagel Pharma,Air,1,27302,26873,3.0,3.0,2023-08-15,2023-08-18,0.0,0,429,1.57,0,17773.6,2023-08
SHP-1-00022,BATCH-00022,Plant to Warehouse,1,DrugY,Asia-Pacific,WH-AP-01,SUP-06,Hikal Speciality,Marken,Road,0,27269,26841,6.0,6.0,2024-08-01,2024-08-07,0.0,0,428,1.57,0,4363.04,2024-08
SHP-1-00023,BATCH-00023,Plant to Warehouse,1,DrugC,Europe,WH-EU-01,SUP-08,Siegfried Holding,Marken,Air,1,38013,37416,3.0,3.0,2023-09-18,2023-09-21,0.0,0,597,1.57,0,24746.46,2023-09
SHP-1-00024,BATCH-00024,Plant to Warehouse,1,DrugB,North America,WH-NA-02,SUP-08,Siegfried Holding,Kuehne+Nagel Pharma,Sea,0,53997,53149,22.0,,2024-12-15,2025-01-06,0.0,0,848,1.57,0,3239.82,2024-12
SHP-1-00025,BATCH-00025,Plant to Warehouse,1,DrugA,Asia-Pacific,WH-AP-01,SUP-04,Lonza Group AG,Marken,Air,1,32554,32043,3.0,3.0,2025-06-06,2025-06-09,0.0,0,511,1.57,0,21192.65,2025-06
SHP-1-00026,BATCH-00026,Plant to Warehouse,1,DrugY,Asia-Pacific,WH-AP-01,SUP-04,Lonza Group AG,Kuehne+Nagel Pharma,Sea,0,65438,64411,22.0,23.0,2024-06-25,2024-07-18,1.0,1,1027,1.57,0,3926.28,2024-06
SHP-1-00027,BATCH-00027,Plant to Warehouse,1,DrugX,North America,WH-NA-01,SUP-02,Divis Laboratories,Kuehne+Nagel Pharma,Rail,0,40460,39825,9.0,8.0,2024-03-05,2024-03-13,-1.0,0,635,1.57,0,4450.6,2024-03
SHP-1-00028,BATCH-00028,Plant to Warehouse,1,DrugY,Middle East & Africa,WH-ME-01,SUP-05,Cambrex Corporation,FedEx Custom Critical,Rail,0,25372,24974,9.0,9.0,2025-08-15,2025-08-24,0.0,0,398,1.57,0,2790.92,2025-08
SHP-1-00029,BATCH-00029,Plant to Warehouse,1,DrugY,Middle East & Africa,WH-ME-01,SUP-08,Siegfried Holding,DHL Life Sciences,Road,0,40436,39801,6.0,6.0,2024-11-24,2024-11-30,0.0,0,635,1.57,0,6469.76,2024-11
SHP-1-00030,BATCH-00030,Plant to Warehouse,1,DrugX,Asia-Pacific,WH-AP-01,SUP-04,Lonza Group AG,Regional 3PL,Road,0,57235,56336,6.0,6.0,2024-04-16,2024-04-22,0.0,0,899,1.57,0,9157.6,2024-04
SHP-1-00031,BATCH-00031,Plant to Warehouse,1,DrugA,Asia-Pacific,WH-AP-01,SUP-03,Zhejiang Kangtai Chem,DHL Life Sciences,Air,1,64504,63491,3.0,3.0,2023-04-15,2023-04-18,0.0,0,1013,1.57,0,41992.1,2023-04
SHP-1-00032,BATCH-00032,Plant to Warehouse,1,DrugC,Latin America,WH-LA-01,SUP-01,Aurobindo API Ltd,Regional 3PL,Air,1,45355,44643,3.0,3.0,2023-02-28,2023-03-03,0.0,0,712,1.57,0,29526.1,2023-02
SHP-1-00033,BATCH-00033,Plant to Warehouse,1,DrugY,Europe,WH-EU-01,SUP-04,Lonza Group AG,FedEx Custom Critical,Sea,0,28724,28273,22.0,22.0,2023-09-14,2023-10-06,0.0,0,451,1.57,0,1723.44,2023-09
SHP-1-00034,BATCH-00034,Plant to Warehouse,1,DrugY,Europe,WH-EU-01,SUP-02,Divis Laboratories,FedEx Custom Critical,Road,0,25099,24705,6.0,,2023-10-13,2023-10-19,0.0,0,394,1.57,0,4015.84,2023-10
SHP-1-00035,BATCH-00035,Plant to Warehouse,1,DrugX,Europe,WH-EU-01,SUP-08,Siegfried Holding,Regional 3PL,Road,0,35711,35150,6.0,6.0,2025-01-22,2025-01-28,0.0,0,561,1.57,0,5713.76,2025-01
SHP-1-00036,BATCH-00036,Plant to Warehouse,1,DrugY,North America,WH-NA-01,SUP-05,Cambrex Corporation,Regional 3PL,Rail,0,56008,55129,9.0,17.0,2024-06-19,2024-07-06,8.0,1,879,1.57,0,6160.88,2024-06
SHP-1-00037,BATCH-00037,Plant to Warehouse,1,DrugY,Middle East & Africa,WH-ME-01,SUP-02,Divis Laboratories,Marken,Road,0,33386,32862,6.0,6.0,2025-11-13,2025-11-19,0.0,0,524,1.57,0,5341.76,2025-11
SHP-1-00038,BATCH-00038,Plant to Warehouse,1,DrugX,North America,WH-NA-02,SUP-01,Aurobindo API Ltd,Marken,Rail,0,33163,32642,9.0,9.0,2024-07-25,2024-08-03,0.0,0,521,1.57,0,3647.93,2024-07
SHP-1-00039,BATCH-00039,Plant to Warehouse,1,DrugY,North America,WH-NA-02,SUP-07,Shandong Xinhua Pharm,FedEx Custom Critical,Road,0,28971,28516,6.0,6.0,2025-08-15,2025-08-21,0.0,0,455,1.57,0,4635.36,2025-08
SHP-1-00040,BATCH-00040,Plant to Warehouse,1,DrugX,Middle East & Africa,WH-ME-01,SUP-08,Siegfried Holding,DHL Life Sciences,Rail,0,24218,23838,9.0,9.0,2024-08-16,2024-08-25,0.0,0,380,1.57,0,2663.98,2024-08
SHP-1-00041,BATCH-00041,Plant to Warehouse,1,DrugY,Asia-Pacific,WH-AP-01,SUP-07,Shandong Xinhua Pharm,Kuehne+Nagel Pharma,Road,0,25663,25260,6.0,6.0,2024-02-18,2024-02-24,0.0,0,403,1.57,0,4106.08,2024-02
SHP-1-00042,BATCH-00042,Plant to Warehouse,1,DrugA,Asia-Pacific,WH-AP-01,SUP-01,Aurobindo API Ltd,FedEx Custom Critical,Air,1,29979,29508,3.0,3.0,2025-01-19,2025-01-22,0.0,0,471,1.57,0,19516.33,2025-01
SHP-1-00043,BATCH-00043,Plant to Warehouse,1,DrugX,North America,WH-NA-02,SUP-01,Aurobindo API Ltd,DHL Life Sciences,Sea,0,39035,38422,22.0,,2024-05-18,2024-06-09,0.0,0,613,1.57,0,2342.1,2024-05
SHP-1-00044,BATCH-00044,Plant to Warehouse,1,DrugY,North America,WH-NA-02,SUP-02,Divis Laboratories,FedEx Custom Critical,Air,0,25322,24924,3.0,3.0,2023-11-21,2023-11-24,0.0,0,398,1.57,0,10635.24,2023-11
SHP-1-00045,BATCH-00045,Plant to Warehouse,1,DrugA,Latin America,WH-LA-01,SUP-07,Shandong Xinhua Pharm,FedEx Custom Critical,Air,1,28810,28358,3.0,3.0,2024-06-20,2024-06-23,0.0,0,452,1.57,0,18755.31,2024-06
SHP-1-00046,BATCH-00046,Plant to Warehouse,1,DrugA,Europe,WH-EU-01,SUP-07,Shandong Xinhua Pharm,Marken,Air,1,19505,19199,3.0,3.0,2024-12-13,2024-12-16,0.0,0,306,1.57,0,12697.76,2024-12
SHP-1-00047,BATCH-00047,Plant to Warehouse,1,DrugY,North America,WH-NA-01,SUP-07,Shandong Xinhua Pharm,FedEx Custom Critical,Road,0,36664,36088,6.0,8.0,2024-03-17,2024-03-25,2.0,1,576,1.57,0,5866.24,2024-03
SHP-1-00048,BATCH-00048,Plant to Warehouse,1,DrugY,Middle East & Africa,WH-ME-01,SUP-01,Aurobindo API Ltd,Regional 3PL,Sea,0,31374,30881,22.0,21.0,2025-01-16,2025-02-06,-1.0,0,493,1.57,0,1882.44,2025-01
SHP-1-00049,BATCH-00049,Plant to Warehouse,1,DrugX,Europe,WH-EU-01,SUP-02,Divis Laboratories,Kuehne+Nagel Pharma,Road,0,55110,54245,6.0,6.0,2025-09-24,2025-09-30,0.0,0,865,1.57,0,8817.6,2025-09
SHP-1-00050,BATCH-00050,Plant to Warehouse,1,DrugY,Latin America,WH-LA-01,SUP-08,Siegfried Holding,FedEx Custom Critical,Sea,0,30254,29779,22.0,21.0,2024-03-22,2024-04-12,-1.0,0,475,1.57,0,1815.24,2024-03
SHP-1-00051,BATCH-00051,Plant to Warehouse,1,DrugY,Europe,WH-EU-01,SUP-08,Siegfried Holding,FedEx Custom Critical,Road,0,35451,34894,6.0,6.0,2023-12-20,2023-12-26,0.0,0,557,1.57,0,5672.16,2023-12
SHP-1-00052,BATCH-00052,Plant to Warehouse,1,DrugY,Asia-Pacific,WH-AP-01,SUP-06,Hikal Speciality,Kuehne+Nagel Pharma,Sea,0,25629,25227,22.0,22.0,2024-03-21,2024-04-12,0.0,0,402,1.57,0,1537.74,2024-03
SHP-1-00053,BATCH-00053,Plant to Warehouse,1,DrugA,Latin America,WH-LA-01,SUP-01,Aurobindo API Ltd,FedEx Custom Critical,Air,1,34897,34349,3.0,3.0,2025-05-23,2025-05-26,0.0,0,548,1.57,0,22717.95,2025-05
SHP-1-00054,BATCH-00054,Plant to Warehouse,1,DrugX,Middle East & Africa,WH-ME-01,SUP-01,Aurobindo API Ltd,Kuehne+Nagel Pharma,Rail,0,31285,30794,9.0,9.0,2023-08-04,2023-08-13,0.0,0,491,1.57,0,3441.35,2023-08
SHP-1-00055,BATCH-00055,Plant to Warehouse,1,DrugX,North America,WH-NA-02,SUP-01,Aurobindo API Ltd,Marken,Road,0,28480,28033,6.0,6.0,2025-10-01,2025-10-07,0.0,0,447,1.57,0,4556.8,2025-10
SHP-1-00056,BATCH-00056,Plant to Warehouse,1,DrugA,Latin America,WH-LA-01,SUP-06,Hikal Speciality,Regional 3PL,Air,1,29608,29143,3.0,3.0,2024-04-04,2024-04-07,0.0,0,465,1.57,1,19274.81,2024-04
SHP-1-00057,BATCH-00057,Plant to Warehouse,1,DrugX,Middle East & Africa,WH-ME-01,SUP-07,Shandong Xinhua Pharm,DHL Life Sciences,Sea,0,23699,23327,22.0,20.0,2025-06-13,2025-07-03,-2.0,0,372,1.57,0,1421.94,2025-06
SHP-1-00058,BATCH-00058,Plant to Warehouse,1,DrugX,Asia-Pacific,WH-AP-01,SUP-06,Hikal Speciality,FedEx Custom Critical,Road,0,24400,24017,6.0,6.0,2025-03-31,2025-04-06,0.0,0,383,1.57,0,3904.0,2025-03
SHP-1-00059,BATCH-00059,Plant to Warehouse,1,DrugY,North America,WH-NA-01,SUP-03,Zhejiang Kangtai Chem,Regional 3PL,Air,0,25641,25238,3.0,3.0,2025-04-10,2025-04-13,0.0,0,403,1.57,0,10769.22,2025-04
SHP-1-00060,BATCH-00060,Plant to Warehouse,1,DrugY,North America,WH-NA-02,SUP-07,Shandong Xinhua Pharm,FedEx Custom Critical,Road,0,31108,30620,6.0,6.0,2025-08-18,2025-08-24,0.0,0,488,1.57,0,4977.28,2025-08
SHP-1-00061,BATCH-00061,Plant to Warehouse,1,DrugX,North America,WH-NA-02,SUP-01,Aurobindo API Ltd,Kuehne+Nagel Pharma,Sea,0,86608,85248,22.0,24.0,2023-08-20,2023-09-13,2.0,1,1360,1.57,0,5196.48,2023-08
SHP-1-00062,BATCH-00062,Plant to Warehouse,1,DrugX,North America,WH-NA-01,SUP-07,Shandong Xinhua Pharm,FedEx Custom Critical,Sea,0,16588,16328,22.0,21.0,2024-10-13,2024-11-03,-1.0,0,260,1.57,0,995.28,2024-10
SHP-1-00063,BATCH-00063,Plant to Warehouse,1,DrugX,Latin America,WH-LA-01,SUP-08,Siegfried Holding,Kuehne+Nagel Pharma,Air,0,16140,15887,3.0,3.0,2023-05-29,2023-06-01,0.0,0,253,1.57,0,6778.8,2023-05
SHP-1-00064,BATCH-00064,Plant to Warehouse,1,DrugA,Middle East & Africa,WH-ME-01,SUP-06,Hikal Speciality,Kuehne+Nagel Pharma,Air,1,18720,18426,3.0,7.0,2023-12-25,2024-01-01,4.0,1,294,1.57,0,12186.72,2023-12
SHP-1-00065,BATCH-00065,Plant to Warehouse,1,DrugX,Asia-Pacific,WH-AP-01,SUP-08,Siegfried Holding,Regional 3PL,Road,0,26464,26049,6.0,8.0,2023-03-26,2023-04-03,2.0,1,415,1.57,0,4234.24,2023-03
SHP-1-00066,BATCH-00066,Plant to Warehouse,1,DrugX,Asia-Pacific,WH-AP-01,SUP-05,Cambrex Corporation,Kuehne+Nagel Pharma,Rail,0,41232,40585,9.0,9.0,2024-12-12,2024-12-21,0.0,0,647,1.57,0,4535.52,2024-12
SHP-1-00067,BATCH-00067,Plant to Warehouse,1,DrugX,LATAM,WH-LA-01,SUP-04,Lonza Group AG,Regional 3PL,Road,0,35452,34895,6.0,,2024-10-05,2024-10-11,0.0,0,557,1.57,0,5672.32,2024-10
SHP-1-00068,BATCH-00068,Plant to Warehouse,1,DrugY,Europe,WH-EU-01,SUP-03,Zhejiang Kangtai Chem,Marken,Sea,0,14587,14358,22.0,21.0,2025-03-11,2025-04-01,-1.0,0,229,1.57,0,875.22,2025-03
SHP-1-00069,BATCH-00069,Plant to Warehouse,1,DrugY,Europe ,WH-EU-01,SUP-08,Siegfried Holding,Kuehne+Nagel Pharma,Air,0,34929,34381,3.0,3.0,2023-08-13,2023-08-16,0.0,0,548,1.57,0,14670.18,2023-08
SHP-1-00070,BATCH-00070,Plant to Warehouse,1,DrugY,Asia-Pacific,WH-AP-01,SUP-06,Hikal Speciality,Regional 3PL,Road,0,20678,20353,6.0,6.0,2024-01-18,2024-01-24,0.0,0,325,1.57,0,3308.48,2024-01
SHP-1-00071,BATCH-00071,Plant to Warehouse,1,DrugY,North America,WH-NA-02,SUP-02,Divis Laboratories,DHL Life Sciences,Road,0,25175,24780,6.0,6.0,2024-12-01,2024-12-07,0.0,0,395,1.57,0,4028.0,2024-12
SHP-1-00072,BATCH-00072,Plant to Warehouse,1,DrugY,North America,WH-NA-01,SUP-08,Siegfried Holding,Regional 3PL,Road,0,27992,27553,6.0,6.0,2025-04-29,2025-05-05,0.0,0,439,1.57,0,4478.72,2025-04
SHP-1-00073,BATCH-00073,Plant to Warehouse,1,DrugB,Asia-Pacific,WH-AP-01,SUP-01,Aurobindo API Ltd,Marken,Rail,0,14359,14134,9.0,9.0,2025-06-28,2025-07-07,0.0,0,225,1.57,0,1579.49,2025-06
SHP-1-00074,BATCH-00074,Plant to Warehouse,1,DrugY,Latin America,WH-LA-01,SUP-05,Cambrex Corporation,FedEx Custom Critical,Rail,0,17151,16882,9.0,9.0,2023-04-27,2023-05-06,0.0,0,269,1.57,0,1886.61,2023-04
SHP-1-00075,BATCH-00075,Plant to Warehouse,1,DrugY,north america,WH-NA-01,SUP-02,Divis Laboratories,Kuehne+Nagel Pharma,Rail,0,17457,17183,9.0,9.0,2024-03-12,2024-03-21,0.0,0,274,1.57,0,1920.27,2024-03
SHP-1-00076,BATCH-00076,Plant to Warehouse,1,DrugY,North America,WH-NA-02,SUP-06,Hikal Speciality,Regional 3PL,Road,0,37640,37049,6.0,6.0,2023-03-11,2023-03-17,0.0,0,591,1.57,0,6022.4,2023-03
SHP-1-00077,BATCH-00077,Plant to Warehouse,1,DrugY,North America,WH-NA-02,SUP-04,Lonza Group AG,Marken,Road,0,31066,30578,6.0,,2025-05-01,2025-05-07,0.0,0,488,1.57,0,4970.56,2025-05
SHP-1-00078,BATCH-00078,Plant to Warehouse,1,DrugX,Latin America,WH-LA-01,SUP-04,Lonza Group AG,FedEx Custom Critical,Rail,0,19134,18834,9.0,8.0,2023-07-01,2023-07-09,-1.0,0,300,1.57,0,2104.74,2023-07
SHP-1-00079,BATCH-00079,Plant to Warehouse,1,DrugX,Asia-Pacific,WH-AP-01,SUP-06,Hikal Speciality,Marken,Air,0,13021,12817,3.0,3.0,2025-05-02,2025-05-05,0.0,0,204,1.57,0,5468.82,2025-05
SHP-1-00080,BATCH-00080,Plant to Warehouse,1,DrugA,Asia-Pacific,WH-AP-01,SUP-07,Shandong Xinhua Pharm,FedEx Custom Critical,Air,1,15069,14832,3.0,3.0,2023-08-13,2023-08-16,0.0,0,237,1.57,1,9809.92,2023-08
SHP-1-00081,BATCH-00081,Plant to Warehouse,1,DrugX,Asia-Pacific,WH-AP-01,SUP-04,Lonza Group AG,Marken,Road,0,36758,36181,6.0,6.0,2023-03-07,2023-03-13,0.0,0,577,1.57,0,5881.28,2023-03
SHP-1-00082,BATCH-00082,Plant to Warehouse,1,DrugY,North America,WH-NA-02,SUP-08,Siegfried Holding,FedEx Custom Critical,Road,0,8793,8655,6.0,6.0,2025-06-14,2025-06-20,0.0,0,138,1.57,0,1406.88,2025-06
SHP-1-00083,BATCH-00083,Plant to Warehouse,1,DrugA,Latin America,WH-LA-01,SUP-04,Lonza Group AG,DHL Life Sciences,Air,1,46479,45749,3.0,3.0,2024-04-14,2024-04-17,0.0,0,730,1.57,0,30257.83,2024-04
SHP-1-00084,BATCH-00084,Plant to Warehouse,1,DrugY,North America,WH-NA-01,SUP-02,Divis Laboratories,DHL Life Sciences,Road,0,13008,12804,6.0,6.0,2024-04-18,2024-04-24,0.0,0,204,1.57,0,2081.28,2024-04
SHP-1-00085,BATCH-00085,Plant to Warehouse,1,DrugY,North America,WH-NA-01,SUP-01,Aurobindo API Ltd,Marken,Road,0,39592,38970,6.0,6.0,2024-11-12,2024-11-18,0.0,0,622,1.57,0,6334.72,2024-11
SHP-1-00086,BATCH-00086,Plant to Warehouse,1,DrugY,Latin America,WH-LA-01,SUP-02,Divis Laboratories,Kuehne+Nagel Pharma,Air,0,19313,19010,3.0,4.0,2023-11-21,2023-11-25,1.0,1,303,1.57,0,8111.46,2023-11
SHP-1-00087,BATCH-00087,Plant to Warehouse,1,DrugX,Asia-Pacific,WH-AP-01,SUP-06,Hikal Speciality,Regional 3PL,Road,0,43127,42450,6.0,6.0,2025-01-08,2025-01-14,0.0,0,677,1.57,0,6900.32,2025-01
SHP-1-00088,BATCH-00088,Plant to Warehouse,1,DrugX,North America,WH-NA-02,SUP-05,Cambrex Corporation,FedEx Custom Critical,Road,0,109491,107772,6.0,6.0,2024-04-12,2024-04-18,0.0,0,1719,1.57,0,17518.56,2024-04
SHP-1-00089,BATCH-00089,Plant to Warehouse,1,DrugY,Europe,WH-EU-01,SUP-03,Zhejiang Kangtai Chem,DHL Life Sciences,Sea,0,10990,10817,22.0,20.0,2023-11-29,2023-12-19,-2.0,0,173,1.57,0,659.4,2023-11
SHP-1-00090,BATCH-00090,Plant to Warehouse,1,DrugX,North America,WH-NA-01,SUP-04,Lonza Group AG,Marken,Air,0,37753,37160,3.0,3.0,2024-03-06,2024-03-09,0.0,0,593,1.57,0,15856.26,2024-03
SHP-1-00091,BATCH-00091,Plant to Warehouse,1,DrugY,Latin America,WH-LA-01,SUP-07,Shandong Xinhua Pharm,Marken,Sea,0,13298,13089,22.0,21.0,2023-03-26,2023-04-16,-1.0,0,209,1.57,0,797.88,2023-03
SHP-1-00092,BATCH-00092,Plant to Warehouse,1,DrugX,LATAM,WH-LA-01,SUP-05,Cambrex Corporation,FedEx Custom Critical,Rail,0,32731,32217,9.0,9.0,2023-11-22,2023-12-01,0.0,0,514,1.57,0,3600.41,2023-11
SHP-1-00093,BATCH-00093,Plant to Warehouse,1,DrugY,North America,WH-NA-02,SUP-01,Aurobindo API Ltd,Regional 3PL,Air,0,25122,24728,3.0,3.0,2024-09-21,2024-09-24,0.0,0,394,1.57,0,10551.24,2024-09
SHP-1-00094,BATCH-00094,Plant to Warehouse,1,DrugY,Europe,WH-EU-01,SUP-01,Aurobindo API Ltd,Marken,Road,0,29335,28874,6.0,6.0,2023-07-06,2023-07-12,0.0,0,461,1.57,0,4693.6,2023-07
SHP-1-00095,BATCH-00095,Plant to Warehouse,1,DrugY,North America,WH-NA-02,SUP-04,Lonza Group AG,Marken,Road,0,19028,18729,6.0,12.0,2023-06-12,2023-06-24,6.0,1,299,1.57,0,3044.48,2023-06
SHP-1-00096,BATCH-00096,Plant to Warehouse,1,DrugX,Europe,WH-EU-01,SUP-04,Lonza Group AG,FedEx Custom Critical,Road,0,38615,38009,6.0,6.0,2024-11-15,2024-11-21,0.0,0,606,1.57,0,6178.4,2024-11
SHP-1-00097,BATCH-00097,Plant to Warehouse,1,DrugY,North America,WH-NA-02,SUP-07,Shandong Xinhua Pharm,Marken,Sea,0,9437,9289,22.0,27.0,2024-05-06,2024-06-02,5.0,1,148,1.57,0,566.22,2024-05
SHP-1-00098,BATCH-00098,Plant to Warehouse,1,DrugY,North America,WH-NA-02,SUP-05,Cambrex Corporation,Kuehne+Nagel Pharma,Sea,0,47650,46902,22.0,21.0,2023-07-07,2023-07-28,-1.0,0,748,1.57,0,2859.0,2023-07
SHP-1-00099,BATCH-00099,Plant to Warehouse,1,DrugY,Europe,WH-EU-01,SUP-07,Shandong Xinhua Pharm,Kuehne+Nagel Pharma,Sea,0,24042,23665,22.0,22.0,2025-03-08,2025-03-30,0.0,0,377,1.57,0,1442.52,2025-03
SHP-1-00100,BATCH-00100,Plant to Warehouse,1,DrugC,Middle East & Africa,WH-ME-01,SUP-05,Cambrex Corporation,FedEx Custom Critical,Air,1,15719,15472,3.0,3.0,2025-03-11,2025-03-14,0.0,0,247,1.57,0,10233.07,2025-03
SHP-1-00101,BATCH-00101,Plant to Warehouse,1,DrugB,Latin America,WH-LA-01,SUP-03,Zhejiang Kangtai Chem,Marken,Road,0,28965,28510,6.0,6.0,2023-04-21,2023-04-27,0.0,0,455,1.57,0,4634.4,2023-04
SHP-1-00102,BATCH-00102,Plant to Warehouse,1,DrugX,North America,WH-NA-02,SUP-06,Hikal Speciality,DHL Life Sciences,Road,0,27188,26761,6.0,6.0,2023-09-07,2023-09-13,0.0,0,427,1.57,0,4350.08,2023-09
SHP-1-00103,BATCH-00103,Plant to Warehouse,1,DrugY,Middle East & Africa,WH-ME-01,SUP-05,Cambrex Corporation,Kuehne+Nagel Pharma,Road,0,61499,60534,6.0,6.0,2024-02-13,2024-02-19,0.0,0,965,1.57,0,9839.84,2024-02
SHP-1-00104,BATCH-00104,Plant to Warehouse,1,DrugC,North America,WH-NA-02,SUP-06,Hikal Speciality,DHL Life Sciences,Air,1,46626,45894,3.0,3.0,2025-01-26,2025-01-29,0.0,0,732,1.57,0,30353.53,2025-01
